sym,k,sz,d2,d3,d4,total
BLACK_HOLES,1,5,-6333.0,6117.0,15158.5,14942.5
BLACK_HOLES,1,10,-6333.0,6117.0,15158.5,14942.5
BLACK_HOLES,2,5,-6781.0,5526.0,14687.5,13432.5
BLACK_HOLES,2,10,-6781.0,5526.0,14687.5,13432.5
BLACK_HOLES,3,5,-7225.0,4935.0,14216.5,11926.5
BLACK_HOLES,3,10,-7225.0,4935.0,14216.5,11926.5
BLACK_HOLES,4,5,-7659.0,4363.0,13749.5,10453.5
BLACK_HOLES,4,10,-7659.0,4363.0,13749.5,10453.5
BLACK_HOLES,5,5,-8092.0,3793.0,13292.5,8993.5
BLACK_HOLES,5,10,-8092.0,3793.0,13292.5,8993.5
BLACK_HOLES,6,5,-8515.0,3223.0,12835.5,7543.5
BLACK_HOLES,6,10,-8515.0,3223.0,12835.5,7543.5
BLACK_HOLES,7,5,-8721.0,2845.0,12378.5,6502.5
BLACK_HOLES,7,10,-8721.0,2845.0,12378.5,6502.5
DARK_MATTER,1,5,1855.0,-233.0,5935.5,7557.5
DARK_MATTER,1,10,1855.0,-233.0,5935.5,7557.5
DARK_MATTER,2,5,1407.0,-824.0,5464.5,6047.5
DARK_MATTER,2,10,1407.0,-824.0,5464.5,6047.5
DARK_MATTER,3,5,962.0,-1409.0,4995.5,4548.5
DARK_MATTER,3,10,962.0,-1409.0,4995.5,4548.5
DARK_MATTER,4,5,529.0,-1979.0,4538.5,3088.5
DARK_MATTER,4,10,529.0,-1979.0,4538.5,3088.5
DARK_MATTER,5,5,96.0,-2549.0,4081.5,1628.5
DARK_MATTER,5,10,96.0,-2549.0,4081.5,1628.5
DARK_MATTER,6,5,-323.0,-3114.0,3637.5,200.5
DARK_MATTER,6,10,-323.0,-3114.0,3637.5,200.5
DARK_MATTER,7,5,-363.0,-3291.0,3573.5,-80.5
DARK_MATTER,7,10,-363.0,-3291.0,3573.5,-80.5
PLANETARY_RINGS,1,5,23252.0,1823.5,-6912.5,18163.0
PLANETARY_RINGS,1,10,23252.0,1823.5,-6912.5,18163.0
PLANETARY_RINGS,2,5,22804.0,1232.5,-7383.5,16653.0
PLANETARY_RINGS,2,10,22804.0,1232.5,-7383.5,16653.0
PLANETARY_RINGS,3,5,22356.0,642.5,-7854.5,15144.0
PLANETARY_RINGS,3,10,22356.0,642.5,-7854.5,15144.0
PLANETARY_RINGS,4,5,21922.0,69.5,-8311.5,13680.0
PLANETARY_RINGS,4,10,21922.0,69.5,-8311.5,13680.0
PLANETARY_RINGS,5,5,21489.0,-500.5,-8768.5,12220.0
PLANETARY_RINGS,5,10,21489.0,-500.5,-8768.5,12220.0
PLANETARY_RINGS,6,5,21115.0,-1070.5,-9222.5,10822.0
PLANETARY_RINGS,6,10,21115.0,-1070.5,-9222.5,10822.0
PLANETARY_RINGS,7,5,21062.0,-1612.5,-9404.5,10045.0
PLANETARY_RINGS,7,10,21062.0,-1612.5,-9404.5,10045.0
SOLAR_FLAMES,1,5,-8796.0,3638.0,-3079.0,-8237.0
SOLAR_FLAMES,1,10,-8796.0,3638.0,-3079.0,-8237.0
SOLAR_FLAMES,2,5,-9244.0,3047.0,-3550.0,-9747.0
SOLAR_FLAMES,2,10,-9244.0,3047.0,-3550.0,-9747.0
SOLAR_FLAMES,3,5,-9689.0,2457.0,-4021.0,-11253.0
SOLAR_FLAMES,3,10,-9689.0,2457.0,-4021.0,-11253.0
SOLAR_FLAMES,4,5,-10125.0,1885.0,-4483.0,-12723.0
SOLAR_FLAMES,4,10,-10125.0,1885.0,-4483.0,-12723.0
SOLAR_FLAMES,5,5,-10558.0,1315.0,-4940.0,-14183.0
SOLAR_FLAMES,5,10,-10558.0,1315.0,-4940.0,-14183.0
SOLAR_FLAMES,6,5,-10991.0,745.0,-5397.0,-15643.0
SOLAR_FLAMES,6,10,-10991.0,745.0,-5397.0,-15643.0
SOLAR_FLAMES,7,5,-11258.0,343.0,-5631.0,-16546.0
SOLAR_FLAMES,7,10,-11258.0,343.0,-5631.0,-16546.0
SOLAR_WINDS,1,5,-9377.0,8446.0,9650.5,8719.5
SOLAR_WINDS,1,10,-9377.0,8446.0,9650.5,8719.5
SOLAR_WINDS,2,5,-9825.0,7855.0,9179.5,7209.5
SOLAR_WINDS,2,10,-9825.0,7855.0,9179.5,7209.5
SOLAR_WINDS,3,5,-10270.0,7273.0,8708.5,5711.5
SOLAR_WINDS,3,10,-10270.0,7273.0,8708.5,5711.5
SOLAR_WINDS,4,5,-10706.0,6703.0,8245.5,4242.5
SOLAR_WINDS,4,10,-10706.0,6703.0,8245.5,4242.5
SOLAR_WINDS,5,5,-11139.0,6133.0,7788.5,2782.5
SOLAR_WINDS,5,10,-11139.0,6133.0,7788.5,2782.5
SOLAR_WINDS,6,5,-11548.0,5591.0,7331.5,1374.5
SOLAR_WINDS,6,10,-11548.0,5591.0,7331.5,1374.5
SOLAR_WINDS,7,5,-11576.0,5431.0,7068.5,923.5
SOLAR_WINDS,7,10,-11576.0,5431.0,7068.5,923.5
