basket,threshold,MB_d2,MB_d3,MB_d4,MB_3d,Total_3d,delta_vs_base,MB_delta
pebbles,100,10668,5988,8250,24906,861157,9685,9685
pebbles,150,12342,8137,11574,32053,868306,16834,16832
pebbles,200,12498,11326,12158,35982,872233,20761,20761
pebbles,250,10664,13149,12710,36523,872776,21304,21302
pebbles,300,11082,10457,12711,34250,870501,19029,19029
pebbles,400,10502,16632,7833,34967,871218,19746,19746
top3,100,12394,7328,14678,34400,870653,19181,19179
top3,150,10074,4892,16026,30992,867244,15772,15771
top3,200,9792,3783,12756,26331,862585,11113,11110
top3,250,9928,-1697,12838,21069,857321,5849,5848
top3,300,12494,1528,13752,27774,864027,12555,12553
top3,400,9612,2752,12110,24474,860725,9253,9253
top4,100,13076,5906,13934,32916,869170,17698,17695
top4,150,10836,2789,12064,25689,861940,10468,10468
top4,200,9312,2742,12508,24562,860816,9344,9341
top4,250,9774,-1291,12452,20935,857187,5715,5714
top4,300,12619,1641,13293,27553,863805,12333,12332
top4,400,9775,3314,11474,24563,860816,9344,9342
