symbol,win,theta,PnL_final,NTrades
COTTON,20,1,-40262.0,7863
COTTON,20,2,-38167.0,7387
COTTON,20,3,-36336.0,6949
COTTON,20,5,-32717.0,6235
COTTON,50,1,-26078.0,5075
COTTON,50,2,-24717.0,4807
COTTON,50,3,-23738.0,4557
COTTON,50,5,-21564.0,4055
COTTON,100,1,-19445.0,3497
COTTON,100,2,-18528.0,3311
COTTON,100,3,-17794.0,3119
COTTON,100,5,-16425.0,2803
COTTON,200,1,-14224.0,2653
COTTON,200,2,-13637.0,2505
COTTON,200,3,-12991.0,2363
COTTON,200,5,-12151.0,2091
LAMB_WOOL,20,1,-39497.0,7543
LAMB_WOOL,20,2,-37407.0,7109
LAMB_WOOL,20,3,-35939.0,6639
LAMB_WOOL,20,5,-32423.0,5909
LAMB_WOOL,50,1,-27163.0,4705
LAMB_WOOL,50,2,-25975.0,4455
LAMB_WOOL,50,3,-24876.0,4203
LAMB_WOOL,50,5,-22508.0,3741
LAMB_WOOL,100,1,-19147.0,3381
LAMB_WOOL,100,2,-18432.0,3183
LAMB_WOOL,100,3,-17539.0,3003
LAMB_WOOL,100,5,-16375.0,2707
LAMB_WOOL,200,1,-14752.0,2233
LAMB_WOOL,200,2,-14126.0,2127
LAMB_WOOL,200,3,-13439.0,2019
LAMB_WOOL,200,5,-12195.0,1811
NYLON,20,1,-32757.5,7965
NYLON,20,2,-30675.5,7385
NYLON,20,3,-28665.5,6889
NYLON,20,5,-25006.5,6041
NYLON,50,1,-21063.5,4947
NYLON,50,2,-19607.5,4623
NYLON,50,3,-18425.5,4393
NYLON,50,5,-16419.5,3907
NYLON,100,1,-15252.5,3513
NYLON,100,2,-14469.5,3313
NYLON,100,3,-13516.5,3131
NYLON,100,5,-12050.0,2734
NYLON,200,1,-11149.5,2381
NYLON,200,2,-10471.5,2217
NYLON,200,3,-9925.5,2091
NYLON,200,5,-8851.5,1845
POLYESTER,20,1,-39330.5,7937
POLYESTER,20,2,-37326.5,7487
POLYESTER,20,3,-35011.5,7121
POLYESTER,20,5,-31371.0,6386
POLYESTER,50,1,-25117.5,5159
POLYESTER,50,2,-23876.5,4897
POLYESTER,50,3,-22823.5,4639
POLYESTER,50,5,-20025.5,4171
POLYESTER,100,1,-17824.5,3775
POLYESTER,100,2,-16651.5,3561
POLYESTER,100,3,-15842.5,3387
POLYESTER,100,5,-14485.5,3027
POLYESTER,200,1,-12284.5,2719
POLYESTER,200,2,-11563.5,2565
POLYESTER,200,3,-10909.5,2451
POLYESTER,200,5,-9614.5,2213
SUEDE,20,1,-38366.5,7871
SUEDE,20,2,-36314.5,7419
SUEDE,20,3,-33955.5,7043
SUEDE,20,5,-30816.5,6251
SUEDE,50,1,-24573.5,5009
SUEDE,50,2,-23386.5,4749
SUEDE,50,3,-22126.5,4523
SUEDE,50,5,-19888.5,4061
SUEDE,100,1,-16699.5,3559
SUEDE,100,2,-15792.5,3371
SUEDE,100,3,-14890.5,3207
SUEDE,100,5,-13304.5,2895
SUEDE,200,1,-11821.5,2657
SUEDE,200,2,-11038.5,2511
SUEDE,200,3,-10285.5,2383
SUEDE,200,5,-9055.5,2173
