pair,lag0,best_lag,best_ccf
SNACKPACK_CHOCOLATE|SNACKPACK_VANILLA,-0.9152,-20,0.0094
SNACKPACK_CHOCOLATE|SNACKPACK_PISTACHIO,0.0247,-20,0.0149
SNACKPACK_CHOCOLATE|SNACKPACK_STRAWBERRY,0.017,-5,0.0148
SNACKPACK_CHOCOLATE|SNACKPACK_RASPBERRY,0.0308,-1,-0.0172
SNACKPACK_VANILLA|SNACKPACK_PISTACHIO,0.04,-1,-0.021
SNACKPACK_VANILLA|SNACKPACK_STRAWBERRY,0.0307,-1,-0.0188
SNACKPACK_VANILLA|SNACKPACK_RASPBERRY,0.0145,-15,0.014
SNACKPACK_PISTACHIO|SNACKPACK_STRAWBERRY,0.9126,1,-0.0189
SNACKPACK_PISTACHIO|SNACKPACK_RASPBERRY,-0.8307,-2,-0.0167
SNACKPACK_STRAWBERRY|SNACKPACK_RASPBERRY,-0.9232,-10,0.0139
