symbol,rule,spread,all_n,all_mean,all_tot,all_win,d2_n,d3_n,d4_n,d2_mean,d3_mean,d4_mean,d2_tot,d3_tot,d4_tot,d2_win,d3_win,d4_win
ROBOT_IRONING,BIG_BOTH_p95_short_h100,6.0,1698,16.324,27717.5,0.592,496,617,1935,15.84,29.781,-11.002,7856.5,18375.0,-21289.0,0.575,0.686,0.465
MICROCHIP_OVAL,BIG_BID_ONLY_p95_short_h100,8.0,1374,13.122,18029.5,0.563,238,417,495,-10.752,18.745,14.913,-2559.0,7816.5,7382.0,0.466,0.573,0.582
ROBOT_DISHES,BIG_BOTH_p95_long_h100,7.0,675,12.379,8356.0,0.53,93,287,1866,6.296,20.443,7.194,585.5,5867.0,13424.5,0.527,0.575,0.389
MICROCHIP_RECTANGLE,BIG_BOTH_p95_long_h100,8.0,311,13.537,4210.0,0.547,1894,207,96,-14.783,7.403,32.448,-27998.5,1532.5,3115.0,0.463,0.522,0.635
TRANSLATOR_GRAPHITE_MIST,BIG_BID_P99_p99_long_h100,9.0,323,16.498,5329.0,0.576,119,101,1086,-4.992,34.723,-22.926,-594.0,3507.0,-24898.0,0.462,0.693,0.428
TRANSLATOR_ECLIPSE_CHARCOAL,BIG_BID_ONLY_p95_long_h100,9.0,733,7.463,5470.5,0.499,364,144,222,10.251,-0.438,9.083,3731.5,-63.0,2016.5,0.489,0.521,0.509
TRANSLATOR_ASTRO_BLACK,BIG_BID_P99_p99_long_h100,8.0,375,6.777,2541.5,0.531,104,130,114,10.062,5.015,6.009,1046.5,652.0,685.0,0.558,0.523,0.518
PEBBLES_XS,BIG_BOTH_p95_short_h100,9.0,5021,1.995,10019.0,0.505,1633,1672,77,8.191,5.257,-23.312,13376.5,8789.5,-1795.0,0.541,0.505,0.442
SLEEP_POD_NYLON,BIG_BID_ONLY_p95_long_h100,9.0,1177,4.367,5139.5,0.545,442,503,73,-7.833,11.505,25.89,-3462.0,5787.0,1890.0,0.502,0.559,0.658
OXYGEN_SHAKE_GARLIC,BIG_BOTH_p95_long_h100,15.0,2073,2.053,4256.0,0.485,702,696,662,7.888,-14.172,11.782,5537.5,-9863.5,7799.5,0.533,0.405,0.517
ROBOT_DISHES,BIG_BOTH_p95_long_h30,7.0,675,0.495,334.0,0.489,93,287,1877,-8.591,6.282,-2.085,-799.0,1803.0,-3913.0,0.387,0.554,0.269
ROBOT_VACUUMING,BIG_ASK_ONLY_p95_short_h100,7.0,1269,0.918,1164.5,0.505,261,521,480,-14.923,2.762,7.98,-3895.0,1439.0,3830.5,0.433,0.52,0.531
